Compiled from "NumberMathModificationInfo.java"
     571: iconst_1
     572: putfield      #225                // Field byte_and:Z
     575: aload_2
     576: ldc           #147                // class java/lang/Short
     578: if_acmpne     586
     581: aload_0
     582: iconst_1
     583: putfield      #227                // Field short_and:Z
     586: aload_2
     587: ldc           #151                // class java/lang/Integer
     589: if_acmpne     597
     592: aload_0
     593: iconst_1
     594: putfield      #229                // Field int_and:Z
     597: aload_2
     598: ldc           #155                // class java/lang/Long
     600: if_acmpne     608
     603: aload_0
     604: iconst_1
     605: putfield      #231                // Field long_and:Z
     608: aload_2
     609: ldc           #159                // class java/lang/Float
     611: if_acmpne     619
     614: aload_0
     615: iconst_1
     616: putfield      #233                // Field float_and:Z
     619: aload_2
     620: ldc           #163                // class java/lang/Double
     622: if_acmpne     630
     625: aload_0
     626: iconst_1
     627: putfield      #235                // Field double_and:Z
     630: aload_2
     631: ldc           #4                  // class java/lang/Object
     633: if_acmpne     666
     636: aload_0
     637: iconst_1
     638: putfield      #225                // Field byte_and:Z
     641: aload_0
     642: iconst_1
     643: putfield      #227                // Field short_and:Z
     646: aload_0
     647: iconst_1
     648: putfield      #229                // Field int_and:Z
     651: aload_0
     652: iconst_1
     653: putfield      #231                // Field long_and:Z
     656: aload_0
     657: iconst_1
     658: putfield      #233                // Field float_and:Z
     661: aload_0
     662: iconst_1
     663: putfield      #235                // Field double_and:Z
     666: ldc           #237                // String xor
     668: aload_1
     669: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     672: ifeq          777
     675: aload_2
     676: ldc           #143                // class java/lang/Byte
     678: if_acmpne     686
     681: aload_0
     682: iconst_1
     683: putfield      #239                // Field byte_xor:Z
     686: aload_2
     687: ldc           #147                // class java/lang/Short
     689: if_acmpne     697
     692: aload_0
     693: iconst_1
     694: putfield      #241                // Field short_xor:Z
     697: aload_2
     698: ldc           #151                // class java/lang/Integer
     700: if_acmpne     708
     703: aload_0
     704: iconst_1
     705: putfield      #243                // Field int_xor:Z
     708: aload_2
     709: ldc           #155                // class java/lang/Long
     711: if_acmpne     719
     714: aload_0
     715: iconst_1
     716: putfield      #245                // Field long_xor:Z
     719: aload_2
     720: ldc           #159                // class java/lang/Float
     722: if_acmpne     730
     725: aload_0
     726: iconst_1
     727: putfield      #247                // Field float_xor:Z
     730: aload_2
     731: ldc           #163                // class java/lang/Double
     733: if_acmpne     741
     736: aload_0
     737: iconst_1
     738: putfield      #249                // Field double_xor:Z
     741: aload_2
     742: ldc           #4                  // class java/lang/Object
     744: if_acmpne     777
     747: aload_0
     748: iconst_1
     749: putfield      #239                // Field byte_xor:Z
     752: aload_0
     753: iconst_1
     754: putfield      #241                // Field short_xor:Z
     757: aload_0
     758: iconst_1
     759: putfield      #243                // Field int_xor:Z
     762: aload_0
     763: iconst_1
     764: putfield      #245                // Field long_xor:Z
     767: aload_0
     768: iconst_1
     769: putfield      #247                // Field float_xor:Z
     772: aload_0
     773: iconst_1
     774: putfield      #249                // Field double_xor:Z
     777: ldc           #251                // String intdiv
     779: aload_1
     780: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     783: ifeq          888
     786: aload_2
     787: ldc           #143                // class java/lang/Byte
     789: if_acmpne     797
     792: aload_0
     793: iconst_1
     794: putfield      #253                // Field byte_intdiv:Z
     797: aload_2
     798: ldc           #147                // class java/lang/Short
     800: if_acmpne     808
     803: aload_0
     804: iconst_1
     805: putfield      #255                // Field short_intdiv:Z
     808: aload_2
     809: ldc           #151                // class java/lang/Integer
     811: if_acmpne     819
     814: aload_0
     815: iconst_1
     816: putfield      #257                // Field int_intdiv:Z
     819: aload_2
     820: ldc           #155                // class java/lang/Long
     822: if_acmpne     830
     825: aload_0
     826: iconst_1
     827: putfield      #259                // Field long_intdiv:Z
     830: aload_2
     831: ldc           #159                // class java/lang/Float
     833: if_acmpne     841
     836: aload_0
     837: iconst_1
     838: putfield      #261                // Field float_intdiv:Z
     841: aload_2
     842: ldc           #163                // class java/lang/Double
     844: if_acmpne     852
     847: aload_0
     848: iconst_1
     849: putfield      #263                // Field double_intdiv:Z
     852: aload_2
     853: ldc           #4                  // class java/lang/Object
     855: if_acmpne     888
     858: aload_0
     859: iconst_1
     860: putfield      #253                // Field byte_intdiv:Z
     863: aload_0
     864: iconst_1
     865: putfield      #255                // Field short_intdiv:Z
     868: aload_0
     869: iconst_1
     870: putfield      #257                // Field int_intdiv:Z
     873: aload_0
     874: iconst_1
     875: putfield      #259                // Field long_intdiv:Z
     878: aload_0
     879: iconst_1
     880: putfield      #261                // Field float_intdiv:Z
     883: aload_0
     884: iconst_1
     885: putfield      #263                // Field double_intdiv:Z
     888: ldc_w         #265                // String mod
     891: aload_1
     892: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     895: ifeq          1000
     898: aload_2
     899: ldc           #143                // class java/lang/Byte
     901: if_acmpne     909
     904: aload_0
     905: iconst_1
     906: putfield      #267                // Field byte_mod:Z
     909: aload_2
     910: ldc           #147                // class java/lang/Short
     912: if_acmpne     920
     915: aload_0
     916: iconst_1
     917: putfield      #269                // Field short_mod:Z
     920: aload_2
     921: ldc           #151                // class java/lang/Integer
     923: if_acmpne     931
     926: aload_0
     927: iconst_1
     928: putfield      #271                // Field int_mod:Z
     931: aload_2
     932: ldc           #155                // class java/lang/Long
     934: if_acmpne     942
     937: aload_0
     938: iconst_1
     939: putfield      #273                // Field long_mod:Z
     942: aload_2
     943: ldc           #159                // class java/lang/Float
     945: if_acmpne     953
     948: aload_0
     949: iconst_1
     950: putfield      #275                // Field float_mod:Z
     953: aload_2
     954: ldc           #163                // class java/lang/Double
     956: if_acmpne     964
     959: aload_0
     960: iconst_1
     961: putfield      #277                // Field double_mod:Z
     964: aload_2
     965: ldc           #4                  // class java/lang/Object
     967: if_acmpne     1000
     970: aload_0
     971: iconst_1
     972: putfield      #267                // Field byte_mod:Z
     975: aload_0
     976: iconst_1
     977: putfield      #269                // Field short_mod:Z
     980: aload_0
     981: iconst_1
     982: putfield      #271                // Field int_mod:Z
     985: aload_0
     986: iconst_1
     987: putfield      #273                // Field long_mod:Z
     990: aload_0
     991: iconst_1
     992: putfield      #275                // Field float_mod:Z
     995: aload_0
     996: iconst_1
     997: putfield      #277                // Field double_mod:Z
    1000: ldc_w         #279                // String leftShift
    1003: aload_1
    1004: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
    1007: ifeq          1112
    1010: aload_2
    1011: ldc           #143                // class java/lang/Byte
    1013: if_acmpne     1021
    1016: aload_0
    1017: iconst_1
    1018: putfield      #281                // Field byte_leftShift:Z
    1021: aload_2
    1022: ldc           #147                // class java/lang/Short
    1024: if_acmpne     1032
    1027: aload_0
    1028: iconst_1
    1029: putfield      #283                // Field short_leftShift:Z
    1032: aload_2
    1033: ldc           #151                // class java/lang/Integer
    1035: if_acmpne     1043
    1038: aload_0
    1039: iconst_1
    1040: putfield      #285                // Field int_leftShift:Z
    1043: aload_2
    1044: ldc           #155                // class java/lang/Long
    1046: if_acmpne     1054
    1049: aload_0
    1050: iconst_1
    1051: putfield      #287                // Field long_leftShift:Z
    1054: aload_2
    1055: ldc           #159                // class java/lang/Float
    1057: if_acmpne     1065
    1060: aload_0
    1061: iconst_1
    1062: putfield      #289                // Field float_leftShift:Z
    1065: aload_2
    1066: ldc           #163                // class java/lang/Double
    1068: if_acmpne     1076
    1071: aload_0
    1072: iconst_1
    1073: putfield      #291                // Field double_leftShift:Z
    1076: aload_2
    1077: ldc           #4                  // class java/lang/Object
    1079: if_acmpne     1112
    1082: aload_0
    1083: iconst_1
    1084: putfield      #281                // Field byte_leftShift:Z
    1087: aload_0
    1088: iconst_1
    1089: putfield      #283                // Field short_leftShift:Z
    1092: aload_0
    1093: iconst_1
    1094: putfield      #285                // Field int_leftShift:Z
    1097: aload_0
    1098: iconst_1
    1099: putfield      #287                // Field long_leftShift:Z
    1102: aload_0
    1103: iconst_1
    1104: putfield      #289                // Field float_leftShift:Z
    1107: aload_0
    1108: iconst_1
    1109: putfield      #291                // Field double_leftShift:Z
    1112: ldc_w         #293                // String rightShift
    1115: aload_1
    1116: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
    1119: ifeq          1224
    1122: aload_2
    1123: ldc           #143                // class java/lang/Byte
    1125: if_acmpne     1133
    1128: aload_0
    1129: iconst_1
    1130: putfield      #295                // Field byte_rightShift:Z
    1133: aload_2
    1134: ldc           #147                // class java/lang/Short
    1136: if_acmpne     1144
    1139: aload_0
    1140: iconst_1
    1141: putfield      #297                // Field short_rightShift:Z
    1144: aload_2
    1145: ldc           #151                // class java/lang/Integer
    1147: if_acmpne     1155
    1150: aload_0
    1151: iconst_1
    1152: putfield      #299                // Field int_rightShift:Z
    1155: aload_2
    1156: ldc           #155                // class java/lang/Long
    1158: if_acmpne     1166
    1161: aload_0
    1162: iconst_1
    1163: putfield      #301                // Field long_rightShift:Z
    1166: aload_2
    1167: ldc           #159                // class java/lang/Float
    1169: if_acmpne     1177
    1172: aload_0
    1173: iconst_1
    1174: putfield      #303                // Field float_rightShift:Z
    1177: aload_2
    1178: ldc           #163                // class java/lang/Double
    1180: if_acmpne     1188
    1183: aload_0
    1184: iconst_1
    1185: putfield      #305                // Field double_rightShift:Z
    1188: aload_2
    1189: ldc           #4                  // class java/lang/Object
    1191: if_acmpne     1224
    1194: aload_0
    1195: iconst_1
    1196: putfield      #295                // Field byte_rightShift:Z
    1199: aload_0
    1200: iconst_1
    1201: putfield      #297                // Field short_rightShift:Z
    1204: aload_0
    1205: iconst_1
    1206: putfield      #299                // Field int_rightShift:Z
    1209: aload_0
    1210: iconst_1
    1211: putfield      #301                // Field long_rightShift:Z
    1214: aload_0
    1215: iconst_1
    1216: putfield      #303                // Field float_rightShift:Z
    1219: aload_0
    1220: iconst_1
    1221: putfield      #305                // Field double_rightShift:Z
    1224: ldc_w         #307                // String rightShiftUnsigned
    1227: aload_1
    1228: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
    1231: ifeq          1336
    1234: aload_2
    1235: ldc           #143                // class java/lang/Byte
    1237: if_acmpne     1245
    1240: aload_0
    1241: iconst_1
    1242: putfield      #309                // Field byte_rightShiftUnsigned:Z
    1245: aload_2
    1246: ldc           #147                // class java/lang/Short
    1248: if_acmpne     1256
    1251: aload_0
    1252: iconst_1
    1253: putfield      #311                // Field short_rightShiftUnsigned:Z
    1256: aload_2
    1257: ldc           #151                // class java/lang/Integer
    1259: if_acmpne     1267
    1262: aload_0
    1263: iconst_1
    1264: putfield      #313                // Field int_rightShiftUnsigned:Z
    1267: aload_2
    1268: ldc           #155                // class java/lang/Long
    1270: if_acmpne     1278
    1273: aload_0
    1274: iconst_1
    1275: putfield      #315                // Field long_rightShiftUnsigned:Z
    1278: aload_2
    1279: ldc           #159                // class java/lang/Float
    1281: if_acmpne     1289
    1284: aload_0
    1285: iconst_1
    1286: putfield      #317                // Field float_rightShiftUnsigned:Z
    1289: aload_2
    1290: ldc           #163                // class java/lang/Double
    1292: if_acmpne     1300
    1295: aload_0
    1296: iconst_1
    1297: putfield      #319                // Field double_rightShiftUnsigned:Z
    1300: aload_2
    1301: ldc           #4                  // class java/lang/Object
    1303: if_acmpne     1336
    1306: aload_0
    1307: iconst_1
    1308: putfield      #309                // Field byte_rightShiftUnsigned:Z
    1311: aload_0
    1312: iconst_1
    1313: putfield      #311                // Field short_rightShiftUnsigned:Z
    1316: aload_0
    1317: iconst_1
    1318: putfield      #313                // Field int_rightShiftUnsigned:Z
    1321: aload_0
    1322: iconst_1
    1323: putfield      #315                // Field long_rightShiftUnsigned:Z
    1326: aload_0
    1327: iconst_1
    1328: putfield      #317                // Field float_rightShiftUnsigned:Z
    1331: aload_0
    1332: iconst_1
    1333: putfield      #319                // Field double_rightShiftUnsigned:Z
    1336: return

  public static int plus(byte, byte);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #145                // Field byte_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #327                // Method plusSlow:(BB)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(byte, byte);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int plus(byte, short);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #145                // Field byte_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #349                // Method plusSlow:(BS)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(byte, short);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #353                // Method java/lang/Short.valueOf:(S)Ljava/lang/Short;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static int plus(byte, int);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #145                // Field byte_plus:Z
       6: ifeq          15
       9: iload_0
      10: iload_1
      11: invokestatic  #356                // Method plusSlow:(BI)I
      14: ireturn
      15: iload_0
      16: iload_1
      17: iadd
      18: ireturn

  private static int plusSlow(byte, int);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
       4: ldc           #138                // String plus
       6: iload_1
       7: invokestatic  #360                // Method java/lang/Integer.valueOf:(I)Ljava/lang/Integer;
      10: invokestatic  #340                // Method org/codehaus/groovy/runtime/InvokerHelper.invokeMethod:(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;
      13: checkcast     #342                // class java/lang/Number
      16: invokevirtual #346                // Method java/lang/Number.intValue:()I
      19: ireturn

  public static long plus(byte, long);
    Code:
       0: getstatic     #324                // Field instance:Lorg/codehaus/groovy/runtime/typehandling/NumberMathModificationInfo;
       3: getfield      #145                // Field byte_plus:Z
       6: ifeq          15
       9: iload_0
      10: lload_1
      11: invokestatic  #363                // Method plusSlow:(BJ)J
      14: lreturn
      15: iload_0
      16: i2l
      17: lload_1
      18: ladd
      19: lreturn

  private static long plusSlow(byte, long);
    Code:
       0: iload_0
       1: invokestatic  #334                // Method java/lang/Byte.valueOf:(B)Ljava/lang/Byte;
